timestamp, aqi, h, no2, o3, pm25
09-11-2017 11:48,173,37,19,53,173
10-11-2017 6:03,189,58,19,59,189
10-11-2017 7:03,189,45,19,59,189
10-11-2017 8:03,205,41,19,36,205
10-11-2017 9:03,207,41.5,19,42,207
10-11-2017 10:03,207,42,19,42,207
10-11-2017 11:03,209,42,19,52,209
10-11-2017 12:03,209,42,19,52,209
10-11-2017 13:03,212,39,19,64,212
10-11-2017 14:04,212,39,19,64,212
10-11-2017 15:04,212,67,19,64,212
10-11-2017 16:04,207,67,19,59,207
10-11-2017 17:04,207,67,19,59,207
10-11-2017 18:04,206,63,19,54,206
10-11-2017 19:04,206,63,19,54,206
10-11-2017 20:04,206,63,19,54,206
10-11-2017 21:04,206,63,19,54,206
10-11-2017 22:04,206,81,19,54,206
10-11-2017 23:04,206,81,19,54,206
11-11-2017 0:04,206,84,19,54,206
11-11-2017 1:04,206,84,19,54,206
11-11-2017 2:04,206,84,19,54,206
11-11-2017 3:04,206,63,19,54,206
11-11-2017 4:04,206,63,19,54,206
11-11-2017 5:04,227,63,19,28,227
11-11-2017 6:04,229,45,18,30,229
11-11-2017 7:04,226,45,18,33,226
11-11-2017 8:04,224,45,18,38,224
11-11-2017 9:05,224,38,18,43,224
11-11-2017 10:05,224,38,18,43,224
11-11-2017 11:05,224,38,18,43,224
11-11-2017 12:05,222,35,18,59,222
11-11-2017 13:05,223,35,18,63,223
11-11-2017 14:05,224,35,18,62,224
11-11-2017 15:05,224,35,18,62,224
11-11-2017 16:05,230,47,18,60,230
11-11-2017 17:05,230,62,18,60,230
11-11-2017 18:05,230,62,18,60,230
11-11-2017 19:05,230,62,18,60,230
11-11-2017 20:05,230,62,18,60,230
11-11-2017 21:05,230,62,18,60,230
11-11-2017 22:05,230,70,18,60,230
11-11-2017 23:05,230,81,18,60,230
12-11-2017 0:05,230,81,18,60,230
12-11-2017 1:05,230,81,18,60,230
12-11-2017 2:05,230,81,18,60,230
12-11-2017 3:05,230,81,18,60,230
12-11-2017 4:06,200,49,19,30,200
12-11-2017 5:06,200,49,19,30,200
12-11-2017 6:06,200,41,19,30,200
12-11-2017 7:04,204,41,19,34,204
12-11-2017 7:11,204,41,19,34,204
12-11-2017 7:14,204,41,19,34,204
12-11-2017 8:15,204,41,19,34,204
12-11-2017 9:15,210,36,19,44,210
12-11-2017 10:15,210,36,19,44,210
12-11-2017 11:15,214,36,19,53,214
12-11-2017 12:15,214,36,19,53,214
12-11-2017 13:15,214,36,19,53,214
12-11-2017 14:15,214,36,19,53,214
12-11-2017 15:15,228,65,19,59,228
12-11-2017 16:15,225,65,19,55,225
12-11-2017 17:15,222,65,19,50,222
12-11-2017 18:15,222,65,19,50,222
12-11-2017 19:15,222,71,19,50,222
12-11-2017 20:15,222,71,19,50,222
12-11-2017 21:15,222,79,19,50,222
12-11-2017 22:15,222,79,19,50,222
12-11-2017 23:16,222,79,19,50,222
13-11-2017 0:16,222,80,19,50,222
13-11-2017 1:16,222,80,19,50,222
13-11-2017 2:16,222,59,19,50,222
13-11-2017 3:16,222,59,19,50,222
13-11-2017 4:16,222,59,19,50,222
13-11-2017 5:16,246,59,18,29,246
13-11-2017 6:16,246,42,18,31,246
13-11-2017 7:16,242,42,18,41,242
13-11-2017 8:16,242,34,18,41,242
13-11-2017 9:16,242,34,18,41,242
13-11-2017 10:16,243,41,18,52,243
13-11-2017 11:16,243,41,18,52,243
13-11-2017 12:16,243,41,18,52,243
13-11-2017 13:16,243,38,18,52,243
13-11-2017 14:17,243,38,18,52,243
13-11-2017 15:17,243,54,18,52,243
13-11-2017 16:17,243,70,18,52,243
13-11-2017 17:17,243,70,18,52,243
13-11-2017 18:17,243,81,18,52,243
13-11-2017 19:17,243,81,18,52,243
13-11-2017 20:17,243,81,18,52,243
13-11-2017 21:17,243,88,18,52,243
13-11-2017 22:17,243,88,18,52,243
13-11-2017 23:17,243,84,18,52,243
14-11-2017 0:17,243,84,18,52,243
14-11-2017 1:17,243,84,18,52,243
14-11-2017 2:17,243,84,18,52,243
14-11-2017 3:17,243,84,18,52,243
14-11-2017 4:17,159,78,19,29,159
14-11-2017 5:18,153,45,19,31,153
14-11-2017 6:18,152,45,19,36,152
14-11-2017 7:18,152,45,19,36,152
14-11-2017 8:18,150,45,19,42,150
14-11-2017 9:18,150,45,19,42,150
14-11-2017 10:18,149,35,19,63,149
14-11-2017 11:18,149,35,19,63,149
14-11-2017 12:18,149,35,19,63,149
14-11-2017 13:18,151,35,19,73,151
14-11-2017 14:18,154,35,19,73,154
14-11-2017 15:18,154,69,19,73,154
14-11-2017 16:18,154,69,19,73,154
14-11-2017 17:18,154,82,19,73,154
14-11-2017 18:18,154,82,19,73,154
14-11-2017 19:19,154,82,19,73,154
14-11-2017 20:19,154,82,19,73,154
14-11-2017 21:19,154,82,19,73,154
14-11-2017 22:19,154,82,19,73,154
14-11-2017 23:19,154,81,19,73,154
15-11-2017 0:19,154,81,19,73,154
15-11-2017 1:19,154,81,19,73,154
15-11-2017 2:19,154,70,19,73,154
15-11-2017 3:19,154,70,19,73,154
15-11-2017 4:19,154,70,19,73,154
15-11-2017 5:19,154,42,19,73,154
15-11-2017 6:19,154,42,19,73,154
15-11-2017 7:19,154,42,19,73,154
15-11-2017 8:19,154,42,19,73,154
15-11-2017 9:19,186,39,18,46,186
15-11-2017 10:20,186,39,18,46,186
15-11-2017 11:20,186,39,18,46,186
15-11-2017 12:20,186,38,18,46,186
15-11-2017 13:20,186,38,18,46,186
15-11-2017 14:20,186,38,18,46,186
15-11-2017 15:20,185,74,17,56,185
15-11-2017 16:20,185,74,17,50,185
15-11-2017 17:20,185,74,17,50,185
15-11-2017 18:20,191,77,18,45,191
15-11-2017 19:20,191,77,18,45,191
15-11-2017 20:20,191,83,18,45,191
15-11-2017 21:20,191,83,18,45,191
15-11-2017 22:20,191,83,18,45,191
15-11-2017 23:20,191,83,18,45,191
16-11-2017 0:21,191,83,18,45,191
16-11-2017 1:21,191,83,18,45,191
16-11-2017 2:21,191,63,18,45,191
16-11-2017 3:21,191,63,18,45,191
16-11-2017 4:21,214,63,18,29,214
16-11-2017 5:21,225,63,18,29,225
16-11-2017 6:21,234,46,18,32,234
16-11-2017 7:21,236,46,18,41,236
16-11-2017 8:21,236,41,18,41,236
16-11-2017 9:21,236,39,18,47,236
16-11-2017 10:21,238,39,19,52,238
16-11-2017 11:21,240,39,19,59,240
16-11-2017 12:21,240,38,19,64,240
16-11-2017 13:21,241,38,19,66,241
16-11-2017 14:22,243,66,19,66,243
16-11-2017 15:22,243,66,19,66,243
16-11-2017 16:22,243,66,19,66,243
16-11-2017 17:22,243,66,19,66,243
16-11-2017 18:22,243,66,19,66,243
16-11-2017 19:22,243,74,19,66,243
16-11-2017 20:22,243,83,19,66,243
16-11-2017 21:22,243,83,19,66,243
16-11-2017 22:22,243,83,19,66,243
16-11-2017 23:22,243,83,19,66,243
17-11-2017 0:22,243,84,19,66,243
17-11-2017 1:22,243,84,19,66,243
17-11-2017 2:22,243,84,19,66,243
17-11-2017 3:22,243,84,19,66,243
17-11-2017 4:22,243,61,19,66,243
17-11-2017 5:23,243,61,19,66,243
17-11-2017 6:23,243,43,19,66,243
17-11-2017 7:23,243,43,19,66,243
17-11-2017 8:23,243,43,19,66,243
17-11-2017 9:23,243,42,19,66,243
17-11-2017 10:23,243,42,19,66,243
17-11-2017 11:23,243,42,19,66,243
17-11-2017 12:23,244,41,19,49,244
17-11-2017 13:23,243,41,19,56,243
17-11-2017 14:23,240,41,19,57,240
17-11-2017 15:23,240,41,19,57,240
17-11-2017 16:23,240,66,19,57,240
17-11-2017 17:23,240,66,19,57,240
17-11-2017 18:23,240,74,19,57,240
17-11-2017 19:23,240,74,19,57,240
17-11-2017 20:24,240,74,19,57,240
17-11-2017 21:24,240,88,19,57,240
17-11-2017 22:24,240,88,19,57,240
17-11-2017 23:24,240,88,19,57,240
18-11-2017 0:24,240,88,19,57,240
18-11-2017 1:24,240,88,19,57,240
18-11-2017 2:24,240,88,19,57,240
18-11-2017 3:24,241,67,19,26,241
18-11-2017 4:24,246,67,19,27,246
18-11-2017 5:24,250,45,19,28,250
18-11-2017 6:24,250,45,19,28,250
18-11-2017 7:24,246,45,19,32,246
18-11-2017 8:24,247,45,19,36,247
18-11-2017 9:24,249,40,19,41,249
